CityTownId,StateProvinceId,CityTownName
1,39,Aaronsburg
3,1,Abanda
4,42,Abbeville
5,11,Abbeville
6,1,Abbeville
7,19,Abbeville
8,25,Abbeville
9,52,Abbotsford
10,45,Abbott
11,4,Abbott
12,32,Abbott
13,49,Abbott
14,51,Abbott
15,34,Abbottsburg
16,39,Abbottstown
17,17,Abbyville
18,45,Abell
19,35,Abercrombie
20,43,Aberdeen
21,21,Aberdeen
22,50,Aberdeen
23,13,Aberdeen
24,34,Aberdeen
25,25,Aberdeen
26,36,Aberdeen
27,18,Aberdeen
28,1,Aberfoil
29,1,Abernant
30,45,Abernathy
31,32,Abeytas
32,28,Abie
33,45,Abilene
34,17,Abilene
35,14,Abingdon
36,49,Abingdon
37,16,Abingdon
38,21,Abingdon
39,39,Abington
40,22,Abington
41,32,Abiquiu
42,19,Abita Springs
43,32,Abo
44,15,Aboite
45,46,Abraham
46,45,Abram
47,52,Abrams
48,27,Absarokee
49,31,Absecon
50,43,Academy
51,5,Acampo
52,21,Accident
53,21,Accokeek
54,49,Accomac
55,33,Accord
56,22,Accord
57,45,Ace
58,40,Aceitunas
59,13,Acequia
60,37,Achille
61,49,Achilles
62,45,Ackerly
63,25,Ackerman
64,16,Ackley
65,16,Ackworth
66,50,Acme
67,45,Acme
68,53,Acme
69,19,Acme
70,32,Acme
71,29,Acoma
72,32,Acomita
73,49,Acorn
74,33,Acra
75,11,Acree
76,20,Acton
77,27,Acton
78,22,Acton
79,5,Acton
80,22,Acushnet
81,30,Acworth
82,11,Acworth
83,19,Acy
84,19,Ada
85,52,Ada
86,17,Ada
87,36,Ada
88,37,Ada
89,24,Ada
90,16,Adair
91,14,Adair
92,37,Adair
93,38,Adair Village
94,11,Adairsville
95,18,Adairville
96,2,Adak
97,37,Adams
98,15,Adams
99,18,Adams
100,25,Adams
101,44,Adams
102,28,Adams
103,38,Adams
104,24,Adams
105,33,Adams
106,22,Adams
107,35,Adams
108,52,Adams
109,33,Adams Center
110,6,Adams City
111,39,Adamsburg
112,39,Adamstown
113,21,Adamstown
114,46,Adamsville
115,45,Adamsville
116,39,Adamsville
117,44,Adamsville
118,36,Adamsville
119,1,Adamsville
120,36,Adario
121,45,Addicks
122,34,Addie
123,14,Addieville
124,37,Addington
125,19,Addis
126,1,Addison
127,23,Addison
128,14,Addison
129,33,Addison
130,39,Addison
131,51,Addison
132,45,Addison
133,20,Addison
134,36,Addison
135,47,Addison
136,52,Addison
137,50,Addy
138,36,Addyston
139,11,Adel
140,16,Adel
141,38,Adel
142,27,Adel
143,50,Adelaide
144,5,Adelanto
145,14,Adeline
146,32,Adelino
147,52,Adell
148,21,Adelphi
149,36,Adelphi
150,31,Adelphia
151,32,Aden
152,36,Adena
153,11,Adgateville
154,5,Adin
155,40,Adjuntas
156,17,Admire
157,50,Adna
158,18,Adolphus
159,4,Adona
160,11,Adrian
161,45,Adrian
162,38,Adrian
163,26,Adrian
164,24,Adrian
165,23,Adrian
166,26,Advance
167,15,Advance
168,34,Advance
169,23,Advance
170,49,Adwolf
171,21,Ady
172,45,Ady
173,50,Aeneas
174,17,Aetna
175,26,Affton
176,24,Afton
177,16,Afton
178,33,Afton
179,32,Afton
180,5,Afton
181,37,Afton
182,53,Afton
183,43,Agar
184,6,Agate
185,38,Agate Beach
186,27,Agawam
187,22,Agawam
188,37,Agawam
189,16,Agency
190,26,Agency
191,43,Agency Village
192,17,Agenda
193,45,Agnes
194,38,Agness
195,28,Agnew
196,4,Agnos
197,5,Agoura
198,5,Agoura Hills
199,17,Agra
200,37,Agra
201,25,Agricola
202,17,Agricola
203,45,Agua Dulce
204,5,Agua Dulce
205,32,Agua Fria
206,45,Agua Nueva
207,40,Aguada
208,40,Aguadilla
209,5,Aguanga
210,40,Aguas Buenas
211,40,Aguas Claras
212,32,Agudo
213,3,Aguila
214,6,Aguilar
215,45,Aguilares
216,40,Aguilita
217,37,Ahloso
218,23,Ahmeek
219,34,Ahoskie
220,50,Ahtanum
221,5,Ahwahnee
222,40,Aibonito
223,36,Aid
224,12,'Aiea
225,45,Aiken
226,42,Aiken
227,11,Ailey
228,16,Ainsworth
229,28,Ainsworth
230,15,Ainsworth
231,33,Airmont
232,26,Airport Drive
233,45,Airport Road Addition
234,50,Airway Heights
235,24,Aitkin
236,3,Ajo
237,3,Ak Chin
238,43,Akaska
239,3,Ak-Chin Village
240,24,Akeley
241,26,Akers
242,2,Akhiok
243,2,Akiachak
244,2,Akiak
245,14,Akin
246,37,Akins
247,35,Akra
248,17,Akron
249,6,Akron
250,1,Akron
251,15,Akron
252,23,Akron
253,16,Akron
254,36,Akron
255,33,Akron
256,39,Akron
257,2,Akutan
258,4,Alabam
259,33,Alabama
260,23,Alabaster
261,1,Alabaster
262,10,Alachua
263,39,Aladdin
264,53,Aladdin
265,2,Alakanuk
266,34,Alamance
267,5,Alameda
268,32,Alameda
269,32,Alamillo
270,29,Alamo
271,45,Alamo
272,32,Alamo
273,5,Alamo
274,11,Alamo
275,44,Alamo
276,15,Alamo
277,35,Alamo
278,45,Alamo Alto
279,45,Alamo Heights
280,5,Alamo Oaks
281,32,Alamogordo
282,6,Alamosa
283,17,Alamota
284,45,Alanreed
285,23,Alanson
286,11,Alapaha
287,34,Alarka
288,2,Alatna
289,23,Alba
290,45,Alba
291,39,Alba
292,26,Alba
293,52,Alban
294,5,Albany
295,30,Albany
296,37,Albany
297,24,Albany
298,26,Albany
299,33,Albany
300,52,Albany
301,47,Albany
302,38,Albany
303,45,Albany
304,53,Albany
305,19,Albany
306,36,Albany
307,15,Albany
308,14,Albany
309,11,Albany
310,18,Albany
311,43,Albee
312,34,Albemarle
313,49,Alberene
314,5,Alberhill
315,14,Albers
316,17,Albert
317,37,Albert
318,45,Albert
319,16,Albert City
320,24,Albert Lea
321,24,Alberta
322,49,Alberta
323,1,Alberta
324,27,Alberton
325,33,Albertson
326,24,Albertville
327,1,Albertville
328,52,Albertville
329,16,Albia
330,25,Albin
331,53,Albin
332,50,Albion
333,37,Albion
334,20,Albion
335,5,Albion
336,31,Albion
337,27,Albion
338,52,Albion
